,Feature,Contribution
169,"_cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",0.206263744134479
236,"_fft_coefficient__attr_""abs""__coeff_56",0.2058312186051525
221,"_fft_coefficient__attr_""abs""__coeff_38",0.20563431495751194
205,"_fft_coefficient__attr_""abs""__coeff_16",0.2051509766828001
200,"_fft_coefficient__attr_""abs""__coeff_11",0.20501734677143177
160,"_cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.20492119153407284
305,"_fft_coefficient__attr_""real""__coeff_49",0.2047426245753111
174,"_cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.2047059705558265
202,"_fft_coefficient__attr_""abs""__coeff_13",0.20405257311175135
281,"_fft_coefficient__attr_""imag""__coeff_23",0.20393111722758575
298,"_fft_coefficient__attr_""real""__coeff_11",0.20370275334128857
217,"_fft_coefficient__attr_""abs""__coeff_31",0.20360219622334244
173,"_cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",0.20324808443629777
170,"_cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.20322290384404612
250,"_fft_coefficient__attr_""abs""__coeff_8",0.20319071991957385
235,"_fft_coefficient__attr_""abs""__coeff_55",0.20301770763077753
199,"_fft_coefficient__attr_""abs""__coeff_10",0.20273125799206648
283,"_fft_coefficient__attr_""imag""__coeff_39",0.2026493942420482
140,"_cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.2026443687511618
93,"_change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.2026404265624509
224,"_fft_coefficient__attr_""abs""__coeff_40",0.2025184980501792
254,"_fft_coefficient__attr_""abs""__coeff_87",0.20240540536519105
368,_sample_entropy,0.20236502050392413
133,_cid_ce__normalize_False,0.20196037522643753
166,"_cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.20183005392722542
214,"_fft_coefficient__attr_""abs""__coeff_29",0.2016033622495673
240,"_fft_coefficient__attr_""abs""__coeff_61",0.20141142110034546
176,"_cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",0.20132047348935256
238,"_fft_coefficient__attr_""abs""__coeff_58",0.20128785521532505
253,"_fft_coefficient__attr_""abs""__coeff_86",0.20064371422231658
225,"_fft_coefficient__attr_""abs""__coeff_41",0.200621459715531
90,"_change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.20049615134527135
234,"_fft_coefficient__attr_""abs""__coeff_53",0.20040290211102382
162,"_cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.2003965869947688
302,"_fft_coefficient__attr_""real""__coeff_25",0.20022365230183659
179,"_cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",0.199995702732948
300,"_fft_coefficient__attr_""real""__coeff_13",0.1998255236580203
149,"_cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.19956651373056875
291,"_fft_coefficient__attr_""imag""__coeff_91",0.19946725730525738
242,"_fft_coefficient__attr_""abs""__coeff_64",0.19933756588432086
208,"_fft_coefficient__attr_""abs""__coeff_19",0.19917818750013724
182,"_cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",0.19907684513351984
244,"_fft_coefficient__attr_""abs""__coeff_68",0.1990327770744482
153,"_cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.1987961132302966
159,"_cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.1987838339576352
289,"_fft_coefficient__attr_""imag""__coeff_85",0.198508867313818
143,"_cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",0.1984764343161378
41,"_agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.19839053032383475
101,"_change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.19834309851585635
150,"_cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.19820800978148112
146,"_cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.19817092526439975
307,"_fft_coefficient__attr_""real""__coeff_70",0.19809299789934393
249,"_fft_coefficient__attr_""abs""__coeff_79",0.19807715530729436
220,"_fft_coefficient__attr_""abs""__coeff_37",0.19803441182732567
211,"_fft_coefficient__attr_""abs""__coeff_26",0.19795612775597304
9,"_agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.19776637433062058
49,_approximate_entropy__m_2__r_0.7,0.19752709618584072
261,"_fft_coefficient__attr_""abs""__coeff_97",0.19748682173304824
365,_ratio_beyond_r_sigma__r_2.5,0.19731251666284663
172,"_cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",0.19728318340955464
106,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.19726782850847116
48,_approximate_entropy__m_2__r_0.5,0.1967957893172507
